"filename", "language", "Python", "Markdown", "C", "Objective-C", "JSON", "comment", "blank", "total"
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/README.md", "Markdown", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/brain_blender/main.ipynb", "JSON", 0, 0, 0, 0, 656, 0, 1, 657
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/brain_blender/network.py", "Python", 229, 0, 0, 0, 0, 29, 66, 324
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/NEB_test.py", "Python", 11, 0, 0, 0, 0, 4, 8, 23
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/database.py", "Python", 69, 0, 0, 0, 0, 10, 41, 120
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/icp.py", "Python", 89, 0, 0, 0, 0, 15, 31, 135
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/analysis.py", "Python", 101, 0, 0, 0, 0, 62, 28, 191
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/error.py", "Python", 5, 0, 0, 0, 0, 2, 5, 12
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/examples/run_simulation.py", "Python", 62, 0, 0, 0, 0, 2, 28, 92
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/examples/temperature_stability.py", "Python", 31, 0, 0, 0, 0, 4, 16, 51
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/examples/test_prion.ipynb", "JSON", 0, 0, 0, 0, 1468, 0, 1, 1469
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/examples/test_protein_template.py", "Python", 20, 0, 0, 0, 0, 2, 15, 37
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/examples/test_temperature_stability.py", "Python", 57, 0, 0, 0, 0, 0, 29, 86
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/logger.py", "Python", 109, 0, 0, 0, 0, 20, 61, 190
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/my_lammps.py", "Python", 83, 0, 0, 0, 0, 52, 30, 165
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/protein_template.py", "Python", 101, 0, 0, 0, 0, 41, 26, 168
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/test_file.py", "Python", 45, 0, 0, 0, 0, 3, 7, 55
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/lammps/util.py", "Python", 48, 0, 0, 0, 0, 31, 17, 96
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/manifold_util.py", "Python", 214, 0, 0, 0, 0, 16, 67, 297
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/matlab/construct_conic.m", "Objective-C", 0, 0, 0, 51, 0, 0, 8, 59
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/matlab/construct_network_c.m", "Objective-C", 0, 0, 0, 58, 0, 0, 7, 65
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/matlab/rigidity.m", "Objective-C", 0, 0, 0, 78, 0, 0, 4, 82
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/matlab/tesselate_network.m", "Objective-C", 0, 0, 0, 53, 0, 0, 6, 59
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/poly_main.ipynb", "JSON", 0, 0, 0, 0, 26059, 0, 1, 26060
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/polygon_util.py", "Python", 442, 0, 0, 0, 0, 419, 152, 1013
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/sim.c", "C", 0, 0, 374, 0, 0, 293, 55, 722
"/Users/mathieuouellet/Dropbox/My Mac (mathieu’s MacBook Pro)/Desktop/AMP/AMP/src/polygon/test_icp.py", "Python", 62, 0, 0, 0, 0, 16, 40, 118
"Total", "-", 1778, 2, 374, 240, 28183, 1021, 752, 32350
